Food code,Main food description,Gender,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,RDA_Vitamin A_(mg),RDA_Vitamin B1_(mg),RDA_Vitamin B2_(mg),RDA_Vitamin B3_(mg),RDA_Vitamin B6_(mg),RDA_Vitamin B9_(mg),RDA_Vitamin B12_(mg),RDA_Vitamin C_(mg),RDA_Vitamin D_(mg),RDA_Vitamin E_(mg),RDA_Vitamin K_(mg),RDA_Choline_(mg),RDA_Calcium_(mg),RDA_Phosphorus_(mg),RDA_Magnesium_(mg),RDA_Iron_(mg),RDA_Zinc_(mg),RDA_Copper_(mg),RDA_Selenium_(mg),RDA_Potassium_(mg)
71603030,"Potato salad, made with creamy dressing",Male,0.003,0.08,0.032,1.041,0.219,0.009,2.9999999999999997e-05,6.0,0.0,0.39,0.0253,16.1,13,64,17,0.3,0.25,0.135,0.0008,277,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603030,"Potato salad, made with creamy dressing",Female,0.003,0.08,0.032,1.041,0.219,0.009,2.9999999999999997e-05,6.0,0.0,0.39,0.0253,16.1,13,64,17,0.3,0.25,0.135,0.0008,277,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603035,"Potato salad, made with light creamy dressing",Male,0.003,0.079,0.019,1.032,0.218,0.01,1e-05,6.0,0.0,0.44,0.0034,13.3,9,34,16,0.27,0.22,0.131,0.0005,272,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603035,"Potato salad, made with light creamy dressing",Female,0.003,0.079,0.019,1.032,0.218,0.01,1e-05,6.0,0.0,0.44,0.0034,13.3,9,34,16,0.27,0.22,0.131,0.0005,272,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603040,"Potato salad, made with Italian dressing",Male,0.001,0.081,0.017,1.057,0.225,0.009,0.0,6.1,0.0,0.38,0.012,11.0,10,35,17,0.3,0.23,0.135,0.0006,282,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603040,"Potato salad, made with Italian dressing",Female,0.001,0.081,0.017,1.057,0.225,0.009,0.0,6.1,0.0,0.38,0.012,11.0,10,35,17,0.3,0.23,0.135,0.0006,282,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603045,"Potato salad, made with light Italian dressing",Male,0.001,0.08,0.019,1.047,0.223,0.009,0.0,6.0,0.0,0.73,0.004900000000000001,11.1,11,34,17,0.29,0.23,0.135,0.0005,282,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603045,"Potato salad, made with light Italian dressing",Female,0.001,0.08,0.019,1.047,0.223,0.009,0.0,6.0,0.0,0.73,0.004900000000000001,11.1,11,34,17,0.29,0.23,0.135,0.0005,282,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603050,"Potato salad, made with any type of fat free dressing",Male,0.002,0.075,0.02,0.977,0.201,0.008,0.0,5.6,0.0,0.04,0.0079,10.4,10,33,16,0.29,0.22,0.129,0.0008,260,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603050,"Potato salad, made with any type of fat free dressing",Female,0.002,0.075,0.02,0.977,0.201,0.008,0.0,5.6,0.0,0.04,0.0079,10.4,10,33,16,0.29,0.22,0.129,0.0008,260,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
